command,mean,stddev,median,user,system,min,max,parameter_n
./main 10000000,0.0090354123,0.000935676576751729,0.0089171308,0.008035039999999999,0.001138704,0.0077659178,0.010908223800000002,10000000
./main 15000000,0.0143388705,0.00178904131635528,0.0136719388,0.01233594,0.0021059299999999998,0.012833698800000001,0.0178621588,15000000
./main 20000000,0.018614377500000005,0.0012642007124849944,0.018380545300000002,0.01639064,0.002310856,0.0175445048,0.021735737800000002,20000000
./main 25000000,0.023669831399999997,0.0013504217820035343,0.0231800183,0.02127254,0.0024799559999999997,0.0222556608,0.0267560948,25000000
./main 30000000,0.028105582700000003,0.0021067592857691,0.0271788993,0.02671494,0.00149663,0.0265801568,0.033133531800000005,30000000
./main 35000000,0.033993136800000004,0.0033227734837812163,0.0326549218,0.03150243999999999,0.0025519559999999998,0.0317200178,0.0420412978,35000000
./main 40000000,0.03773357880000001,0.001405500779882151,0.0376870483,0.035361239999999995,0.0024101559999999997,0.0362175188,0.0408656748,40000000
./main 45000000,0.043778513500000005,0.002811127021298084,0.04301080980000001,0.04093624,0.00286713,0.0403100608,0.0485292988,45000000
./main 50000000,0.055289009300000004,0.009700151495835556,0.05103853480000001,0.052457039999999996,0.002745982,0.043763874800000005,0.07002689580000002,50000000
./main 55000000,0.0573014825,0.00308323648321147,0.0574391948,0.05584984,0.0015219039999999997,0.051854877800000004,0.060957020800000004,55000000
./main 60000000,0.06534829510000001,0.005787638224918335,0.06487980580000001,0.06426134,0.0012257779999999999,0.0584193588,0.07595376580000002,60000000
./main 65000000,0.0814100089,0.0077149548185771475,0.0793579543,0.08030864,0.0012295779999999998,0.07164288980000001,0.0976236698,65000000
./main 70000000,0.10124369910000001,0.012012388180966812,0.10326459580000003,0.09778234000000001,0.003381608,0.07491203380000001,0.11851697080000001,70000000
./main 75000000,0.1263409596,0.010585173744449398,0.1315813623,0.12488424000000001,0.0015102299999999998,0.10602492280000002,0.13621355880000002,75000000
./main 80000000,0.16542227400000004,0.007554434016096781,0.1644347418,0.16368334,0.0018054559999999998,0.15462200080000002,0.17744629480000002,80000000
./main 85000000,0.19948915430000003,0.004649652110857266,0.1991295038,0.19866093999999998,0.000898278,0.1930356008,0.20591025780000002,85000000
./main 90000000,0.23653320130000002,0.004680203932422418,0.23552616880000002,0.23394194000000001,0.002474156,0.23114370180000002,0.24849455780000002,90000000
./main 95000000,0.27213351890000004,0.004939731844841051,0.2722477848,0.26817644,0.003763682,0.26473257980000003,0.27935411880000005,95000000
./main 100000000,0.3066348958,0.004378167857093245,0.3047809978,0.30441683999999997,0.00217843,0.3023698588,0.3131482018,100000000
./main 105000000,0.3348135863,0.004056685869942594,0.33419118080000004,0.33281804,0.001875704,0.3296305398,0.34011420880000004,105000000
./main 110000000,0.36345894370000004,0.004517259109310616,0.3634460298,0.36106434,0.002141356,0.3571304388,0.36900317680000005,110000000
./main 115000000,0.3878899498,0.004255614683739718,0.3885257798,0.38502054,0.002470356,0.37896468780000003,0.3938217438,115000000
./main 120000000,0.41482682560000006,0.0038811335442738215,0.4145320183,0.41225904,0.002478556,0.41024401680000006,0.4232763828,120000000
./main 125000000,0.43951055029999997,0.003605931647797261,0.43941568030000006,0.43421174,0.0047422079999999995,0.4336068128,0.44501347780000006,125000000
./main 130000000,0.4634113736000002,0.0041342527047172,0.46337529880000006,0.46016614,0.0028476299999999994,0.45354436280000004,0.4680908898,130000000
./main 135000000,0.4882916625000001,0.0039202844007816375,0.4882708698,0.48648074,0.0015378039999999998,0.4790562768,0.49369555680000005,135000000
./main 140000000,0.5126087941,0.0050272047013852055,0.5132874108000001,0.50809864,0.0037110340000000006,0.5029280308,0.5199187678,140000000
./main 145000000,0.5392538457,0.006776951414267662,0.5391256038000001,0.5364769399999999,0.002475756,0.5267520808,0.5498366168000001,145000000
./main 150000000,0.5665157014,0.0050686459973348025,0.5666138053,0.5622985399999999,0.004111782,0.5613298198000001,0.5785170298000001,150000000
./main 155000000,0.5922435538000002,0.006969376262191221,0.5908239208,0.58705644,0.004712533999999999,0.5833329528000001,0.6029618588000001,155000000
./main 160000000,0.6159938557,0.0055341653146429096,0.6159966008,0.6112743399999999,0.004445882,0.6088524098,0.6259335958000001,160000000
./main 165000000,0.6409948217999999,0.0037217059217101844,0.6403407833000001,0.63594594,0.004426508,0.6365135808000001,0.6484267578,165000000
./main 170000000,0.666123653,0.0029866575138484974,0.6665200978000001,0.66164254,0.004050234,0.6606923728,0.6702352348,170000000
./main 175000000,0.6888703790000001,0.0048310352155208226,0.6886882383000001,0.6846977399999999,0.0031016819999999997,0.6821243158000001,0.6955158238000001,175000000
./main 180000000,0.715081857,0.009367053198874141,0.7170407318,0.70930154,0.005384333999999999,0.7019751198,0.7318307358,180000000
./main 185000000,0.7394975891,0.006302555741085215,0.7429158033000001,0.73583204,0.003381634,0.7292970558,0.7452045048,185000000
./main 190000000,0.7646398650000001,0.006469129921674488,0.7630077098000001,0.76156554,0.002478456,0.7580795118000001,0.7759397448,190000000
./main 195000000,0.7897397735,0.004263397651934991,0.7908313743000001,0.78589174,0.0034148079999999996,0.7822221928,0.7962230948000001,195000000
./main 200000000,0.816639451,0.004591774529838069,0.8179133603000001,0.81205334,0.004416208,0.8089569478,0.8222028288000001,200000000
