command,mean,stddev,median,user,system,min,max,parameter_n
./main 10000000,0.04273000414000001,0.006763606327182861,0.043457435040000006,0.0387121,0.003914280000000001,0.033992937540000004,0.05121325554,10000000
./main 15000000,0.11691521084,0.008759310405694408,0.11363620404,0.11371309999999998,0.0031816199999999996,0.11038822254,0.13891623454000002,15000000
./main 20000000,0.14602951884000004,0.03676671641393965,0.13518405504000003,0.14423979999999997,0.0019416999999999998,0.10841252954,0.20046829154,20000000
./main 25000000,0.15328562844000004,0.0018123995673850932,0.15312300254000002,0.15048460000000002,0.0028611200000000004,0.14966363654,0.15686768354000002,25000000
./main 30000000,0.19181532603999998,0.0027980781664784073,0.19071558154,0.18702519999999997,0.004644280000000001,0.18908593354000003,0.19671156254000002,30000000
./main 35000000,0.23332847554000002,0.002516724923039243,0.23350815804000002,0.22897430000000002,0.00437586,0.22936501254000002,0.23785406054000002,35000000
./main 40000000,0.27232155704000005,0.0029060279395874563,0.27166651304,0.26628559999999996,0.005887999999999999,0.26915092054,0.27901339254,40000000
./main 45000000,0.31507346974000006,0.0034264840909395723,0.3152870615400001,0.3068284,0.0078758,0.31003988354,0.32300198654,45000000
./main 50000000,0.35467955584000005,0.0039637482016948,0.35261014554000003,0.34914459999999997,0.005295879999999999,0.35129930254,0.36190736454000005,50000000
./main 55000000,0.39616040274000003,0.0024541515173964563,0.39604710754000005,0.3884414,0.007628779999999999,0.39260006954000004,0.40174132454000006,55000000
./main 60000000,0.43558906243999995,0.003276807042432909,0.43475126304,0.4287055000000001,0.006697659999999999,0.43169751954,0.44192492854000004,60000000
./main 65000000,0.47712658154000004,0.002560121718656413,0.47720362754,0.4660857,0.0109076,0.47316786854000004,0.48089421354000006,65000000
./main 70000000,0.52012325804,0.005729568864161924,0.51965267354,0.5094681999999999,0.010218999999999999,0.5125646725399999,0.53332121954,70000000
./main 75000000,0.55754914614,0.003328901127575671,0.55725604304,0.5487723,0.008644579999999999,0.55213098954,0.56494599954,75000000
./main 80000000,0.5971327773399999,0.004429890317998953,0.59761094054,0.5871165,0.0098874,0.59106926354,0.60250826654,80000000
./main 85000000,0.63798794294,0.0025356002913073774,0.63835993454,0.6257029999999999,0.012227199999999997,0.63381595254,0.64269794554,85000000
./main 90000000,0.6799635550399998,0.004603723642749869,0.6794989420399999,0.6718419000000001,0.00797978,0.67258527354,0.68966555154,90000000
./main 95000000,0.72178944154,0.005443424575615676,0.71951229904,0.7119716999999999,0.009552699999999997,0.71716426454,0.73574878554,95000000
./main 100000000,0.7651381628399999,0.0060527171696354055,0.76308821804,0.7515974,0.012894999999999998,0.75957996054,0.77873455254,100000000
./main 105000000,0.80263612414,0.004293484119802487,0.80117082704,0.7918885999999999,0.010567700000000001,0.79872818854,0.81398370654,105000000
./main 110000000,0.8480121610400001,0.005220028065892769,0.84737143504,0.8338901999999999,0.013887100000000003,0.83963174954,0.86074715754,110000000
./main 115000000,0.88796624864,0.005520221841660531,0.88630915104,0.8783251,0.009559,0.8809881135400001,0.89955887454,115000000
./main 120000000,0.9315068608400001,0.004484021061395063,0.93005430354,0.9201050999999998,0.011300979999999999,0.9248927555400001,0.93812131454,120000000
./main 125000000,0.97235817164,0.004394893449545683,0.97069301454,0.9586376999999999,0.013636780000000001,0.96770314354,0.9812397175400001,125000000
./main 130000000,1.01329277914,0.003541198360262466,1.01273738204,0.9963272,0.016895,1.0088701585400002,1.02028841754,130000000
./main 135000000,1.0513828548400002,0.003136995712896711,1.05099027204,1.0314473000000002,0.019891599999999995,1.0453927895400001,1.05594567454,135000000
./main 140000000,1.09746006884,0.005128932808478225,1.09748639354,1.0815148999999997,0.0158896,1.0917090255400002,1.10931222954,140000000
./main 145000000,1.1354896871400002,0.004561451235394369,1.1335082035400001,1.1160682999999998,0.018558599999999998,1.1293479825400001,1.14341921754,145000000
./main 150000000,1.17882324614,0.004194813146694895,1.17733804354,1.1590196,0.0188727,1.17366966754,1.1869976155400002,150000000
./main 155000000,1.2211829340400002,0.003141195725204609,1.2204915775400003,1.2004612,0.020565599999999996,1.2166649335400002,1.22680350154,155000000
./main 160000000,1.26600500654,0.003460959875363897,1.26536136854,1.2401079999999998,0.0252277,1.2603123385400001,1.27103571554,160000000
./main 165000000,1.30664504484,0.0054895949532655555,1.30766210104,1.2840430999999999,0.0222225,1.29647003254,1.31705762654,165000000
./main 170000000,1.3480719588399999,0.0026405123119013383,1.34704210754,1.321886,0.02588909999999999,1.34390273354,1.3524663065400002,170000000
./main 175000000,1.3929512760400002,0.0032431700795339056,1.39290617054,1.3667136999999996,0.024917199999999997,1.38777112854,1.39800258854,175000000
./main 180000000,1.43374873704,0.0029456663360513083,1.4340750715400001,1.4094124999999997,0.0235522,1.4296629205400002,1.43746623454,180000000
./main 185000000,1.47428646034,0.005748006735848233,1.47516201104,1.4538542999999997,0.020227499999999992,1.46740559754,1.4828800795400001,185000000
./main 190000000,1.5174088649399997,0.003588760277537366,1.51760176854,1.4926834000000002,0.0245629,1.5106632695400002,1.52190775654,190000000
./main 195000000,1.56098646814,0.004603793746690786,1.5605153175400002,1.5315822999999997,0.028903399999999996,1.5544829825400002,1.57084050954,195000000
./main 200000000,1.6046632642399998,0.005369629394805231,1.60300274504,1.5753028,0.028581099999999998,1.59825408254,1.61584625154,200000000
