command,mean,stddev,median,user,system,min,max,parameter_n
./main 10000000,0.00987338538,0.0008200033331646958,0.009851217280000001,0.00946332,0.0008127519999999999,0.00889693228,0.01161860328,10000000
./main 15000000,0.01450362078,0.0009159300405874348,0.01443623778,0.01316532,0.0016170199999999998,0.01310337328,0.01617627928,15000000
./main 20000000,0.019663334580000004,0.000897415915170893,0.019267204779999998,0.01825582,0.0016741199999999999,0.01882266128,0.021177452280000002,20000000
./main 25000000,0.024723391180000002,0.0005205725180613804,0.02466913078,0.02303032,0.00192182,0.02413267528,0.02577375128,25000000
./main 30000000,0.029626206080000002,0.000960824041659704,0.029415381280000003,0.028625919999999992,0.0012859199999999999,0.02851658528,0.03166254528,30000000
./main 35000000,0.03488665998,0.0007391737218399181,0.03468638778,0.03383962,0.0013232199999999997,0.033945121280000004,0.03598646128,35000000
./main 40000000,0.03974168168,0.0012418309252436909,0.039819178780000006,0.03903751999999999,0.0010804519999999998,0.03796613228,0.041367644280000004,40000000
./main 45000000,0.04603974968,0.0031670454439240094,0.04546052228,0.04400362,0.002226304,0.04287657928,0.05402691728,45000000
./main 50000000,0.053868062080000015,0.006894130226717169,0.05065704328000001,0.05117102,0.002858804,0.047638404280000005,0.06783076028000001,50000000
./main 55000000,0.05813664178000001,0.005075025717033811,0.05583376428,0.056451819999999986,0.0019096039999999999,0.05383708728,0.06827502628000001,55000000
./main 60000000,0.06615366688,0.004190411077760625,0.06449549278000001,0.06508632,0.0014081360000000002,0.06227287728000001,0.07359921828000002,60000000
./main 65000000,0.08296211818000002,0.005551085128581168,0.08166673178000002,0.08259462000000002,0.0008022519999999998,0.07648417828000001,0.09287259428000001,65000000
./main 70000000,0.10411010798000002,0.008838150621992792,0.10765160478000002,0.10207502000000002,0.002270204,0.08308068128000001,0.11166413028000001,70000000
./main 75000000,0.13484929828,0.007027404450444474,0.13586286528000002,0.13313212,0.0018604879999999998,0.12295757428000002,0.14722988828,75000000
./main 80000000,0.16768758098000003,0.006088748208278959,0.16589134328,0.16626292,0.0016640199999999998,0.16161691128,0.17997906028,80000000
./main 85000000,0.20839219768,0.004554173282400933,0.20803244178000002,0.20489221999999993,0.003454472,0.19985286628,0.21538320328000002,85000000
./main 90000000,0.24231054408000002,0.004181186266232425,0.24104152977999999,0.24079572,0.00166082,0.23892364228000001,0.25236486528,90000000
./main 95000000,0.28014860898,0.0050840505401415085,0.28139428928,0.2793635199999999,0.001062136,0.27097271728,0.28649376428,95000000
./main 100000000,0.3124536612800001,0.0031383612304097678,0.31251694478,0.30831982,0.004060856,0.30665287428,0.31666611528,100000000
./main 105000000,0.34267138848,0.005083592053297059,0.34290430478,0.34157062000000005,0.0013976359999999996,0.33618763828000003,0.35054616628,105000000
./main 110000000,0.36820368428,0.004812838329943684,0.36922654678,0.36772372,0.0008004519999999999,0.36024539628,0.37543699928,110000000
./main 115000000,0.39655950828000003,0.004199363320395583,0.39777999578,0.39635422,0.0005345679999999999,0.39043276228,0.40211124528000003,115000000
./main 120000000,0.42187666898,0.004652833148490684,0.42092551328000005,0.41822262000000004,0.0033977559999999996,0.41661490228000003,0.42869588228,120000000
./main 125000000,0.44688132837999994,0.005104046178919606,0.44755519828,0.4443141199999999,0.002598304,0.43775019328000003,0.45684030028,125000000
./main 130000000,0.47427104838000006,0.002535948196433901,0.47417392028000005,0.4704653199999999,0.0037936720000000005,0.46987315528,0.47884163228000004,130000000
./main 135000000,0.49691398748000004,0.004178020389814221,0.49602208478,0.49342462,0.0034652719999999997,0.49138203028000005,0.5062064042800001,135000000
./main 140000000,0.5252144803800001,0.004159125054930714,0.5241237592800001,0.5218278199999999,0.0031320719999999996,0.5204041492800001,0.5308986012800001,140000000
./main 145000000,0.54828638778,0.004969337593050659,0.5469327747800001,0.54514242,0.003272204,0.53973821328,0.5548839322800001,145000000
./main 150000000,0.5718519029800002,0.00488145171982305,0.5722930792800001,0.5688810200000001,0.002864588,0.5629705062800001,0.5786466732800001,150000000
./main 155000000,0.59904218688,0.006008617718887177,0.5968858587800001,0.59646092,0.0025967039999999996,0.5932391662800001,0.6082336762800001,155000000
./main 160000000,0.62496428688,0.007141467391907123,0.6225474267800001,0.62286942,0.0022009879999999996,0.6167001212800001,0.6383277962800001,160000000
./main 165000000,0.65130265868,0.004923411402625399,0.6532095732800001,0.6475700200000001,0.0037327559999999994,0.6435310152800001,0.6579231392800001,165000000
./main 170000000,0.6753986213800001,0.005753135015305972,0.6757786107800001,0.67214652,0.0031978880000000003,0.6677869092800001,0.6841283222800001,170000000
./main 175000000,0.7033154057800001,0.005206934029365795,0.7045884062800001,0.69920332,0.004191787999999999,0.6909828842800001,0.70798052728,175000000
./main 180000000,0.7238795300800002,0.008198776995312431,0.7242243957800001,0.72139342,0.0022013879999999994,0.7149834312800001,0.7365798222800001,180000000
./main 185000000,0.7509621980800001,0.005742653749706824,0.7498508287800001,0.7495132200000001,0.00166992,0.7425144952800001,0.7613642042800001,185000000
./main 190000000,0.77673520368,0.0034032436674276104,0.7766031562800001,0.77449872,0.0022014879999999997,0.7713450352800001,0.7813417882800001,190000000
./main 195000000,0.80374746288,0.004499632973383826,0.80190988628,0.80049902,0.0029304039999999997,0.79845082328,0.8133659202800001,195000000
./main 200000000,0.8307280551800001,0.0028703476517262577,0.8311007062800001,0.8272788200000001,0.003467372,0.8256671782800001,0.83534279728,200000000
