command,mean,stddev,median,user,system,min,max,parameter_n
./a.out 10000000,0.005114826800000002,0.001346047549199033,0.004555136300000001,0.01944386,0.0012892059999999998,0.003999077300000002,0.007716914300000002,10000000
./a.out 15000000,0.007422887300000003,0.0013334719053621725,0.006847083800000002,0.029295160000000004,0.0009465079999999998,0.005959234300000001,0.009449380300000003,15000000
./a.out 20000000,0.0096778876,0.0014487851050852573,0.008983175800000003,0.036881359999999995,0.00173811,0.008270843300000002,0.012265398300000003,20000000
./a.out 25000000,0.011207556900000002,0.0012785926753377632,0.010377600300000001,0.043412959999999993,0.0012405099999999998,0.010205925300000002,0.013691253300000003,25000000
./a.out 30000000,0.0139168754,0.0011784075693202299,0.014209944800000002,0.051581260000000004,0.0025896139999999996,0.012267563300000001,0.0157672093,30000000
./a.out 35000000,0.015534140800000002,0.0012303533671364723,0.014948021300000003,0.05886915999999999,0.002680714,0.013999197300000004,0.0171846883,35000000
./a.out 40000000,0.017888794300000004,0.0016584444614388258,0.017000057300000003,0.06760035999999998,0.003550308,0.0162876193,0.020404472300000004,40000000
./a.out 45000000,0.0204529856,0.0014198096033430406,0.020654162800000004,0.07679326,0.004048114,0.018542794300000005,0.0227379433,45000000
./a.out 50000000,0.022459281299999998,0.001797523055086823,0.0221335873,0.08577236,0.003024814,0.0203232443,0.0252440663,50000000
./a.out 55000000,0.0244195632,0.0008508054184578351,0.024418838800000005,0.09076595999999999,0.005159817999999999,0.0230832573,0.0257572753,55000000
./a.out 60000000,0.0269786028,0.0033647973449453007,0.025485977300000004,0.10295406,0.0032365119999999995,0.024803920300000004,0.035696641300000005,60000000
./a.out 65000000,0.028933445599999996,0.002107539825423001,0.0281611238,0.11057345999999998,0.0037642119999999994,0.026698566300000004,0.032539576300000005,65000000
./a.out 70000000,0.03205157200000001,0.002771390982983537,0.031142642300000002,0.12271346000000001,0.004562518,0.029258199300000003,0.0365485233,70000000
./a.out 75000000,0.034185149600000006,0.0027151119875489503,0.033142546800000006,0.13240285999999998,0.00429211,0.0311440443,0.0390391553,75000000
./a.out 80000000,0.036984288500000004,0.0020764351898915506,0.0374596083,0.14510536000000002,0.0036388159999999996,0.0341741353,0.0391583073,80000000
./a.out 85000000,0.041016479300000006,0.0022667763774184297,0.04029352280000001,0.15963276,0.004595515999999999,0.0388943823,0.0462685263,85000000
./a.out 90000000,0.0447362415,0.0019080567401307533,0.0448082083,0.17617886,0.0030839139999999997,0.0414336833,0.0487860413,90000000
./a.out 95000000,0.048801965100000004,0.0020588133805522174,0.04812379530000001,0.19162296,0.003813911999999999,0.0467879033,0.052340519300000006,95000000
./a.out 100000000,0.053087512200000006,0.0018776789280092264,0.053027062300000004,0.21179796,0.0018084119999999995,0.049748501300000005,0.055741008300000006,100000000
./a.out 105000000,0.060403293499999997,0.004608878351689457,0.06285752730000001,0.23702116,0.004836111999999999,0.0526681873,0.0643799763,105000000
./a.out 110000000,0.06514415910000002,0.005629134937012925,0.0682493668,0.25635356,0.0041014120000000005,0.0580743733,0.0715638083,110000000
./a.out 115000000,0.074680463,0.004932657144394536,0.0756178658,0.29186996,0.006933615999999999,0.0639786953,0.0816817913,115000000
./a.out 120000000,0.07764864690000002,0.0030261187389217163,0.0777158158,0.3066056599999999,0.004897118,0.0709122093,0.08113864130000001,120000000
./a.out 125000000,0.090692748,0.014331457710063283,0.0860312463,0.35993785999999994,0.003075014,0.08032135530000001,0.12836977030000002,125000000
./a.out 130000000,0.10742236630000002,0.02836675981652891,0.0970386658,0.42392846000000006,0.005955815999999999,0.0869027453,0.18075308730000003,130000000
./a.out 135000000,0.19554870220000004,0.08226285404073651,0.17758347280000003,0.7778090599999999,0.0046483159999999996,0.0950116203,0.2999018083,135000000
./a.out 140000000,0.3571945489,0.015956973226365172,0.3545868553,1.42297626,0.003983516,0.3345915243,0.3852761983,140000000
./a.out 145000000,0.40332205050000003,0.02145356320523888,0.3974874063,1.60633056,0.004070313999999999,0.3734279953,0.4381688983,145000000
./a.out 150000000,0.4293150839,0.030793426970988594,0.4221364543,1.71067786,0.005309516,0.3940722993,0.5085430853,150000000
./a.out 155000000,0.4900167452,0.03519305068684381,0.48801340030000007,1.9535465600000002,0.004973915999999999,0.4522611643,0.5404285753,155000000
./a.out 160000000,0.5294905585,0.04884307850050634,0.5488263068,2.11011236,0.005227717999999999,0.4555552603,0.5840194763000001,160000000
./a.out 165000000,0.5762199906000001,0.033634260507599496,0.5860391273000001,2.29672416,0.00580672,0.5008413923,0.6127191823,165000000
./a.out 170000000,0.6183118981,0.01470767391727973,0.6177526863,2.46263856,0.007223617999999999,0.5985455813,0.6401775883,170000000
./a.out 175000000,0.6575480954000001,0.012444112822827652,0.6586124058,2.62098296,0.006888418,0.6369772753,0.6763653203000001,175000000
./a.out 180000000,0.6901623823999999,0.01056838474648961,0.6930619338,2.74856716,0.006884418000000001,0.6668233573,0.7022084983,180000000
./a.out 185000000,0.7135629647000001,0.008670582962286372,0.7126117583,2.8434664599999997,0.006888217999999999,0.6999493683,0.7256825273,185000000
./a.out 190000000,0.7384240298,0.008324933371927466,0.7397699243,2.94797456,0.0034834119999999995,0.7228977013000001,0.7512296893,190000000
./a.out 195000000,0.77607635,0.010467471667471693,0.7733128908,3.0984431599999995,0.0024863119999999996,0.7635567313,0.7956895603,195000000
./a.out 200000000,0.8012610816000001,0.01290703976192761,0.7998212223000001,3.1938182599999996,0.007131419999999999,0.7868159493,0.8292718373000001,200000000
